tag	article 
 9 11 	花蓮縣政府建設處辦理「中央路1至4段新設左轉車道工程」，為鄉親爭取內政部營建署提升道路品質計畫補助，獲核定新台幣7,390萬元用於新設左轉車道，中央路可串連花蓮市、吉安鄉及省道台9線、台9丙線，為重要南北向市區道路系統。中央路1至4段新設左轉車道工程除了辦理新設左轉車道作業，也一併改善路口設施，例如天空纜線下地、標誌號誌共桿設施、增設行人庇護島、部分路口人行環境改造，並考量慈濟醫院前人行陸橋使用率偏低及無障礙設施不友善等因素，透過本案計畫辦理拆除，將人行動線改為平面通行，此次縣府道路工程增設左轉車道又改善相關交通設施，可大幅提升行車順暢及車行、人行安全性。縣長徐榛蔚表示，近年縣政府不斷投注人力及資源改善道路品質，不只提升路面品質，更重視強化交通設施完整性以保障行車安全，讓用路人可行駛在較高品質的道路上，同時重視行人權益，於市區增設人行道空間，讓民眾有足夠且適宜的行走空間可以行走，不用與車爭道。縣府因應提升的觀光人潮，於道路品質、人行空間、環境景觀等面向領域積極向中央爭取計畫型補助經費，逐步使花蓮成為注重人本交通的國際觀光城市。「中央路1至4段新設左轉車道工程」工期為480日曆天，已與各管線單位多次協調遷移作業，預計於111年3月進場，路口施工時將封閉南、北兩側內側車道、仍維持外側車道通行，各路口已規劃施工期程，將依排定期程加速施工，並於各路口完成時，即刻開放通行使用，施工期間請用路人減速慢行，對於施工造成不便，請鄉親見諒，待工程完工後，將以嶄新風貌提供更優化的行車體驗。資料來源：花蓮縣政府，2022年2月24日
 4 11 	台南市政府為推動公立幼兒園環境優質化，斥資1.5億興建的「東區平實段非營利幼兒園」新建園舍工程，今(23)日舉行動土奠基典禮，預計113年完工，市長黃偉哲表示，東區平實營區未來將進駐很多年輕人，南市府特別排除萬難，超前部署設立這個幼兒園，13班的東區平實段非營利幼兒園將有嶄新的校舍、新穎的設備及優雅的環境，可減輕更多家長的負擔，讓幼童在這裡能更安心上課、快樂學習。「東區平實段非營利幼兒園」新建園舍工程，位於東台南副都心東區平實段的地理位置，以建設一所高品質但收費公共化的非營利幼兒園，彰顯出台南市政府為推動公立幼兒園環境優質化的決心。今天的動土典禮，包括市議會曾培雅、蔡筱薇、蔡旺詮等議員均出席。台南市長黃偉哲表示，今天雖然天氣很冷，外面有暴風且下雨，但是台南對於孩子的受教權及公立幼兒園優質化的推動意志，卻沒有受到任何影響。在東區很多年輕的爸爸媽媽，他們平常要工作，孩子有幼兒園的需求，但因為收費問題沒有辦法把孩子送到幼兒園去，因此台南排除萬難，再爭取中央經費的補助，加上南市府經費，才能夠在平實重劃區，超前部署設立國小的幼兒園，希望能夠多提供更多的這個教育機會給孩子好，那對於孩子的受教權也是多一層保障，尤其是非營利幼兒園的收費都是3500以下，可以減輕家長的負擔，教育品質又可以維持，這是最重要的需求。黃偉哲也強調，自107年12月25日上任迄今，已完成興建5所非營利幼兒園，經南市持續積極向中央爭取，及議會支持下，110-113年已獲教育部核定17億元進行全市21園新建公共化幼兒園。於東台南副都心東區平實段興建一所高品質但收費公共化的非營利幼兒園，期盼帶出幼兒園全新風貌，優質完善的學習空間，提升公立幼兒園的教育品質，營造一個市民樂婚、願生及能養的友善城市，展現市府團隊積極提升公立幼兒園優質化的用心。教育局長鄭新輝表示，配合政府「我國少子女化對策計畫」，全市113學年度公共化幼兒園(公立幼兒園及非營利幼兒園)預計增設112班，其中東區平實段非營利幼兒園招收2歲專班3班；3-6歲10班，共13班，將大幅提升公立幼兒園入園率。裕文國小校長陳彥宏表示，此工程目標為建置一個安全、快樂、永續的綠色校園環境，由入圍第17屆中華民國傑出建築師之獎劉木賢建築師事務所及109年台南市公共工程優質獎特優的升富營造有限公司聯手，打造東台南副都心非營利幼兒園新風貌，設計開放式空間，融合現地規劃特色，採用生態綠建材、健康綠建材、再生綠建材，達綠建築綠化量、基地保水、日常節能、水資源、室內環境、二氧化碳減量等6項指標，將取得銀級綠建築證書。工程預計480個日曆天完工，透過綠色建築與體現自然與在地性對話，將使該幼兒園成為一所高品質和收費公共化的優質學校。資料來源：臺南市政府，2022年2月23日
 8 	勞動部目前已補助全臺24個專業機構提供職災勞工(不分本、外勞)工作能力評估及強化訓練、心理輔導及社會適應、職務再設計等職能復健服務，透過專業人員的協助，讓職災勞工能儘速重返原職場，減少勞工等待或嘗試復工期間所耗費的時間、醫療及社會成本。針對勞工災後生理心理重建需求進行工作分析及功能性工作能力評估，了解勞工之復工需求並設定功能提升目標，以協助職災勞工儘早返回職場。勞動部並就已服務之成功個案舉例如下:千里迢迢由越南來到台灣工作的阿德是一位印刷廠助理，但在一次例行機台保養時左手不慎被機器捲入，造成掌骨開放性骨折。雖然老闆與仲介盡心盡力協助他就醫及復健，但每停工一天就少賺了許多生活費，職業醫學科醫師便轉介阿德到工作強化中心接受提升工作能力強度的職能復健服務。職能治療師為了更深入了解阿德的工作需求與障礙，向醫院申請翻譯志工隨同其評估及參與職能復健強化訓練過程。經過五個禮拜密集的上肢肌耐力強化訓練，並模擬將紙張裝入印刷機這個最令阿德擔心的工作流程後，他順利地回到原本工作崗位。24歲的飯店廚師楊先生於下班路途中發生嚴重車禍，造成主動脈剝離併雙側血胸、左股骨幹開放性骨折、右腕骨折、第四及第五胸椎骨折等嚴重外傷。在醫院接受手術治療及加護病房照護後，開始進行復健。受傷5個月後生理狀況趨於穩定，經由復健科轉介楊先生接受職能復健服務作為復工準備。經過專業工作能力評估，需長時間站立烹調及搬運果菜的他，工作能力強化訓練重點放在提升核心肌群能力及省力負重技巧，以符合工作所需。訓練後期更設計烹飪工作模擬，歷經災變8個月後，楊先生終於順利復工了。勞動部呼籲，職災勞工如有職能復健服務需求可洽各地服務據點，由專業的治療師進行個別化評估，規劃專屬的職能復健強化訓練計畫，亦可透過地方勞政主管機關個案管理員，或勞動部委託辦理各職業傷病防治中心提供相關諮詢及轉介服務。今(111)年5月1日「勞工職業災害保險及保護法」施行後，職能復健等服務將逐步轉由經認可之職能復健專業機構提供更具近便性及在地化之服務。相關資訊可至職安署網站參閱(https://www.osha.gov.tw)。資料來源：勞動部，2022年2月22日
 9 11 	行政院長蘇貞昌今（22）日視察「基隆捷運計畫」，並宣布該計畫定案。院長表示，基隆捷運計畫總經費425億元，中央負擔7成7逾327億經費，其餘由基隆市、臺北市及新北市合理分擔，而未來捷運沿線預計設置13個捷運站，最高運能將由原本1小時5,000人提高到1萬5,000人。期盼早日完成工程，讓北北基民眾共享大都會生活圈的便利。蘇院長表示，他今天特別到基隆宣布基隆捷運計畫定案的好消息，基隆捷運不僅攸關基隆發展，更對基隆、臺北、新北三大都會生活圈有重大影響，包括日常生活、交通運輸、工作通勤、產業發展及觀光旅遊休閒等，在此生活圈的民眾已期待超過30年。有鑑於此，蔡英文總統上任後即指示將基隆輕軌計畫納入前瞻基礎建設計畫，後續經基隆市政府、臺北市政府、新北市政府多年來討論，並於研商過程中提出各種不同路線、方案，大家各有見地，如今終於定案。蘇院長指出，基隆捷運今日定案後，不僅「輕軌變捷運、路線有共識」，經費亦大幅增加，由原先前瞻計畫基隆輕軌所匡列的80億元經費，提升至425億元，並由中央負擔7成7經費，達327多億元，其餘經費則由基隆市政府、臺北市政府、新北市政府三個地方政府達成共識，合理分擔。蘇院長談及，基隆捷運沿線預計設置13個捷運站，最高運能將由原本1小時5,000人提高到1萬5,000人，實屬不易。基隆捷運未來通車後，基隆居民不僅可搭乘捷運到臺北市，並可直達高鐵站，同時也可在南港展覽館站轉車銜接板南線。至於汐止東湖線部分，目前計畫已提報至交通部，也希望早日審查通過，使該路線得以合理延伸，而這一切不僅是交通部、鐵道局、地方政府、立法委員及地方議會多年來朝成功方向努力的結果，也是政府經驗和歷練的累積，進而展現魄力和承擔。院長對此除感謝基隆市政府、新北市政府及臺北市政府協力合作，亦感謝在地立法委員為地方建設共同發聲，並在立法院大力爭取相關預算。蘇院長指出，他此次再任行政院長，一上任就解除基隆河沿岸的禁限建管制，倘若沒有解除此一管制措施，基隆捷運建設將無法順利推動，也無法確定捷運行經路線，而未來基隆貨櫃園區有了捷運的加持，將可成功轉型為科技園區，獲得大幅發展，對地方發展至關重要。蘇院長提到，他之所以積極建設地方，主要係來自於過去治理地方的經驗。當年他擔任臺北縣長時，汐止每逢下雨就淹水，連同基隆幸福社區也遭逢水患之苦，他與時任基隆市長許財利共同見證這其中的辛苦與痛苦，也感謝時任臺北縣水利局長李孟諺發揮所長，協助治理基隆河，讓汐止如今不再淹水，幸福社區也幸福了，更促進產業的發展。蘇院長強調，今日基隆捷運計畫定案後，期待交通部早日進行後續相關事宜，並在地方政府配合及立法院大力支持下，讓過去30年的空談得以付諸實現，快速啟動，進而讓基隆、臺北、新北形成大都會生活圈，使交通便利、產業發展、生活幸福，這也是蔡英文總統一直念茲在茲，希望大家一起合力、努力，讓臺灣更美麗。隨後，蘇院長進行現地視察，分別聽取基隆市政府都發處徐燕興處長及林右昌市長說明基隆捷運計畫路線、場站及規劃重點，並瞭解目前整體規劃進度。院長也責成交通部早日完成基隆捷運工程，讓民眾生活更便利。資料來源：行政院，2022年2月22日
 6 7 9 	目前全球已有超過130國承諾巴黎協定1.5℃目標，2021年已有13個國家已訂定相關法規、3個國家立法中及129個國家處於政策研擬或目標研討階段，台灣大型企業亦持續加入淨零排放倡議，今(22)日南市市政會議，由環保局呈報台南市的淨零排放策略。台南市長黃偉哲表示，減少碳排與經濟發展並不互斥，台南市的投資金額非常高，綠電的容量也也是全國第一，對於減少溫室氣體的部分，各局處都有責任，也必須透過宣導及教育，讓社會大眾及學生都能夠瞭解，並減少民生汙染，也要同步要求相關的事業單位，能夠逐年減少事業廢棄物或不必要的包材。環保局指出，「台南市低碳城市自治條例」自101年12月22日公告實施，由市長擔任召集人，成立「低碳調適及永續發展委員會」整合14 個局處分工，完整專責組織推動，落實低碳城市的目標與管理，並於110年5月簽署氣候緊急宣言、提出永續發展目標自願檢視報告(VLR)，宣布2050年達成淨零排放為目標。南市的減碳策略6大方案包括陽光電城、能源轉型、綠色運輸、住商節電及資源永續等均有豐碩之成果，其中南市再生能源設置容量更是全國第一，截至110年底已達2.5 GW，預估年發電量約33億度，年減碳量將近169萬噸。台南市溫室氣體排放量自2010年至今，透過各局處努力，已減量438萬公噸CO2e，2020年第一批34家溫室氣體應盤查登錄事業排放量為1,070萬公噸，佔全市排放量47%。2020年溫室氣體排放微幅上升，主要來自半導體業新增擴廠所致。在溫室氣體排放占比部份，能源使用(約91%)為南市排放大宗，以電力(約65%)為主要來源、其次為化石燃料(約27%)，顯示能源轉型及第一批34家溫室氣體應盤查登錄事業減碳為淨零排放重要關鍵。南市府也在111年1月6日召開2050凈零排放推動會議，目標是將溫室氣體排放量達到逐年減少5%。台南市未來推動減碳重點策略則包括，多元化碳權抵換申請、強化低碳自治條例2.0、加速能源轉型、循環經濟、建築節能改善、增加再生能源、智慧城市永續轉型及民眾與企業參與等，並定期召開跨局處會議檢討精進，邁向淨零碳排的目標。資料來源：臺南市政府，2022年2月22日
 15 	雲林縣環境保護局近年利用環境友善工法，治理濁水溪揚塵情況，整體改善率達88.7％，成效彰顯，裸露地改善後，因而復育生態衍生出適合動植物生存棲地環境，濁水溪出海口甚至出現黑面琵鷺、東方澤鵟等超過200種候鳥棲息，為保留珍貴自然生態，環保局將持續投入濁水溪揚塵治理工作，維持民眾良好居住環境，同時保護濁水溪出海口珍貴生態與自然環境。雲林縣濁水溪沿岸，經雲林環保局於下游利用農剩餘文蛤殼定沙及鋪設稻草蓆、植生綠覆蓋等環境友善工法，減少風蝕揚塵事件，揚塵事件日從106年59天次減至110年6天次，整體改善率近9成；另濁水溪河床裸露地面積也從106年1500公頃，減至110年814公頃，減少686公頃以上，改善達45.7%。濁水溪沿岸因植生綠覆蓋，吸引鳥類到此棲息，雲林縣環保局藉由拍攝生態紀錄片開啟濁水溪環境永續發展，捕捉濁水溪上空候鳥飛翔英姿，展現自然之美，大量文蛤殼上更成為候鳥繁衍棲息地，為推廣環境教育並深化濁水溪出海口環境生態，透過辦理濁水溪出海口淨溪及生態踏查輕旅行，使民眾瞭解候鳥、環境棲息地與在地發展的連結，以期維護本土生態系之完整，創造優質環境生態體系，加強瀕危候鳥及生物多樣性之保育工作。雲林縣環保局副局長黃富義表示，近年來各界持續推動生物多樣性與維護生態平衡，改變並非一朝一夕就可促成，回顧這些豐碩成果，再次證明努力是值得的，不少珍稀瀕危候鳥受到保護，除希望透過濁水溪紀錄片，向外界傳達環保觀念，提升大眾對生態保育重視，愛護環境並實踐保育行動，也盼人和萬物生生不息在地球的生物圈共榮共存。資料來源：雲林縣政府，2022年2月21日
 6 7 12 	再生能源憑證(T-REC)作為我國最有力的「環境效益證明」，自106年5月發出第一張憑證以來，累計至今(111)年2月，經濟部標準檢驗局國家再生能源憑證中心(以下簡稱憑證中心)核發的憑證突破百萬張！成為我國綠能與憑證發展歷程中一個重要的里程碑。隨著環境、社會及公司治理(ESG)概念成為全球重點關注議題，再生能源憑證可協助企業證明其投入環境保護、永續價值所產生的效益，企業為了滿足其綠電及憑證的需求，可透過直轉供或自發自用等方式取得憑證，做為企業使用綠電的佐證。標準檢驗局致力於推動再生能源憑證與綠電交易機制，迄今憑證案場數達226個，核發憑證超過106萬張(約10.6億度綠電，減碳量約53.4萬公噸)，總體憑證交易則突破91萬張(約9.1億度綠電)。自109年綠電轉供交易開展，標準檢驗局促成了能源業、售電業、電子業、金融業、生技業、美妝業、法律服務業及商辦大樓等跨領域產業共同合作完成綠電轉供，提升企業綠電使用的比例。標準檢驗局掌握綠電交易市場的發展，配合企業購買再生能源的國際趨勢，推出多元的綠電交易方案，例如適合中小企業的「單一電號多用戶示範計畫」，讓商辦大樓中的承租企業取得綠電，目前台灣萊雅、元大證券公司等企業皆透過該示範計畫，順利完成綠電轉供。為持續活絡市場，標準檢驗局亦積極舉辦綠電與憑證的交易媒合會，邀請綠電需求企業與售電業一同交流，增加綠電交易媒合的成功率。除綠電轉供交易外，自發自用憑證的交易量亦逐年上升，交易紀錄已累計達萬張以上，在企業追求環境效益需求帶動的商機下，愈來愈多地方政府機關、學校積極配合政府綠能政策，將自發自用的再生能源案場申請核發憑證；亦有售電業者與社福機構合作，號召多家企業共同響應，開創新模式，建置公益再生能源案場，將機構自發自用產生的憑證售予有需求的企業，不僅省去大量電費，憑證售出的收入還能為社福機構創造額外收益，亦有助於我國推動能源轉型，支持綠能產業發展。企業對永續發展的重視日漸增加，使用綠電及憑證成為全球趨勢，我國的再生能源憑證制度已獲得國內外獎項及重要倡議(如CDP、RE100)的認可，可有效協助企業接軌國際。在今(111)年3月7日至9日，憑證中心將隆重舉辦APEC論壇，邀集各國的代表與專家深度探討再生能源憑證制度，促進亞太地區永續能源發展。標準檢驗局除了樂見更多產業投入綠電市場，也會持續研析業界各種不同的綠電及憑證需求模式，拓展再生能源憑證應用領域，有關綠電交易與再生能源憑證的最新消息，歡迎至國家再生能源憑證中心網站(www.trec.org.tw)查詢。資料來源：經濟部，2022年2月18日
 6 7 	綠能發展里程碑！台電自民國90年積極發展陸域風力，20年來累積發電量已於今(18)日突破100億度，其成果除了憑藉我國良好的風場條件，更須仰賴台電同仁長年努力，克服興建與維運工作的種種考驗，以確保風機的穩定運轉，未來期盼將成果從陸上延續至海上，積極推動離岸風力計畫，逐步實踐風電新願景。台電說明，從民國90年在澎湖中屯設立第一座陸域風機起，至今台電已完成168部陸域風機，總裝置容量共計297.04MW，架設地點北從新北石門，南至屏東恆春，遍布台灣西部沿海及澎湖、金門離島，其累計發電量於104年4月達到50億度。近年來結合大數據技術強化機組維運，提升發電穩定度，以去(110)年為例，台電陸域風力年發電量達6.72億度，佔全國陸域風力發電量約58.7%，可供給近17萬家戶一年用電，並於今(18)日達成累積發電量100億度的里程碑。台電進一步說明，鑒於陸域風機的架設地點分散且常處濱海環境，而早期風機沒有升降梯，維修人員常需徒手爬上60、70公尺高的鋼製塔中，再加上機艙內常有悶熱、搖晃、震動等不利狀況，讓早期風機巡檢與維修的困難度倍增。近年隨維運技術成熟，維修工作結合遠端集中監控管理，並結合大數據技術運用，長期蒐集運轉數據以提早預知未來可能異常的設備，並安排檢修或購置更新，最大化設備正常運轉時間及最小化維護人力配置，進而提升風機可用率及發電量。台電指出，現有陸域風機中約有四分之一運轉已達15年以上，為將風場容量與風機效能最大化，刻正規劃未來風場永續利用方案，將綜合考量場址條件與機組狀況，規劃大小風機整合運用，進行新風場模式開發，朝著永續思維與兼顧在地需求的方向，與環境共存共榮。台電表示，除持續開發陸域風力外，也朝向離岸近海拓展風力新場域，台電離岸一期風力發電工程共21部風機已於去年完成併聯，二期計畫也如火如荼地展開，預期在114年達到陸域風力370MW、離岸風力403.7MW之開發容量目標，台電將持續配合政府能源轉型政策，積極發展潔淨再生能源，邁向低碳電力。資料來源：經濟部，2022年2月18日
 11 	為優化民間參與公共建設投資環境，並鼓勵民間企業投入公共建設興辦，行政院會今（17）日通過財政部擬具的「促進民間參與公共建設法」部分條文修正草案，將函請立法院審議。行政院長蘇貞昌表示，本次修法新增納入綠能設施及數位建設類別，並增訂政府有償取得公共服務的機制，優化民間參與公共建設投資環境。本案送請立法院審議後，請財政部積極與立法院朝野各黨團溝通協調，早日完成修法程序。財政部表示，基於「促進民間參與公共建設法」施行迄今20年，可能遭遇新興產業類別無法適用、政府得否有償取得公共服務疑義及增進履約爭議程序效率等問題，因此擬具該修正草案。該草案修正要點如下：一、修正公共建設包括建設及服務；配合本院組織改造，修正衛生福利及醫療設施；因應前瞻基礎建設政策，新增綠能設施及數位建設類別，及中央目的事業主管機關認定有疑義之處理方式。（修正條文第3條）二、修正主管機關掌理事項，納入履約爭議調解。（修正條文第6條）三、修正民間「新建」、移轉、營運之參與方式為「興建」、移轉、營運；修正民間自行備具私有土地投資「新建」為「興建」，並明定「興建」定義。（修正條文第8條）四、修正納入政府有償取得公共服務機制。（修正條文第9條之1）五、修正納入議約、籌辦及簽約程序規定，並新增政府規劃案件主辦機關因政策變更或公益考量，不予議約或簽約之處理方式；修正民間自行規劃申請案件作業程序及給予主辦機關提供土地、設施案件初審通過者優惠條件。（修正條文第45條、第46條）六、修正刪除申請及審核程序之異議及申訴準用政府採購法相關規定，並明定其處理程序。（修正條文第47條）七、修正依促參法辦理案件不得違反我國締結之條約或協定規定。（修正條文第48條）八、修正納入履約爭議調解機制，申請調解之收費辦法及調解會之組織準則由主管機關定之。（修正條文第48條之1）九、增訂履約爭議調解成立、不成立要件、不同意處理方式及調解規則由主管機關定之。（修正條文第48條之2）資料來源：行政院：2022年2月17日
 6 7 11 	《2022亞太社會創新高峰會》今年5月將在台南登場，今（16)日在台南市政府永華市政中心舉辦啟動記者會，由台南市長黃偉哲與行政院政務委員唐鳳，以及本屆主辦方台南新芽協會理事長嚴婉玲、經濟部政務次長陳正祺、經濟部中小企業處長何晉滄、成功大學校長蘇慧貞、南科管理局局長蘇振綱、中華電信臺南營運處總經理黃格致、安侯建業聯合會計師事務所董事總經理黃正忠、一卡通董事長李懷仁、市議員穎艾達利(Ingay Tali)、沈震東、陳怡珍及南市府團隊等共同宣示高峰會正式啟動。今天的記者會由台南新芽協會開箱，今年高峰會主題「重健亞洲」相關議題及行動方案，聚焦疫情後的新生活，關注「淨零碳排」、「循環經濟」永續環境新思維，於社會創新框架下探討在商業模式、政府治理、文化發展等的行動方案，展現更多的創新方案，歡迎國內外關注社創議題的朋友及專業人士，共同參與亞洲最大規模的社創國際盛會。政務委員唐鳳致詞時，首先稱讚過去2年，台南市在市長黃偉哲的帶領下，運用社會創新的治理模式，在防疫上、經濟上都取得很好的成績，現在透過防疫期間公私合作、交流累積的經驗，相信未來一定能在「淨零碳排」、「循環經濟」的目標上得到很好的成果。市長黃偉哲表示，從2020疫情開始迄今，中央、地方背負許多的使命，做了許多的決策，包括口罩國家隊、疫苗購買和研發，這些使命、決策，都是透過許多人的共同的參與、努力、思辨後才得以完成，也多虧了眾人之力，才能讓台灣克服疫情，走出陰霾，在這個努力的過程中，同時也落實社會創新的理念，透過公私的交流和溝通，達到城市治理中永續發展的目標。黃偉哲說，今年高峰會的主題「重健亞洲」，其實南市府積極推動淨零碳排、循環經濟等施政，台南是台灣第一個率先制定《低碳城市自治條例》的城市，在「台南市氣候緊急宣言」中，提出2030年永續發展願景，承諾在2030年前再生能源裝置量達45億瓦（4.5GW），預計每年可減少約333萬噸碳排放，希望台南市住商用電，於2030年達到淨零碳排，並協助中央共同邁向2050年淨零碳排的目標。另外，COVID-19確診個案數為六都最低，感謝南市府團隊及所有市民朋友共同努力，台南持續以科技防疫打造更安全的城市。研考會主委戴偉峻指出，疫情期間，台南在數位治理的創新思惟，累積了許多實戰經驗，包括自行開發「台南打疫苗」方便民眾預約接種疫苗，「台南COVID-19儀表板」、「AI智慧防疫系統」、「PCR篩檢預約系統」、「台南便利送」等數位應用，在防疫科技更精進的作為，是社會創新的展現。本次峰會召集關注社會創新的企業、NGO及政府單位合作，重建更「健康」且更「健全」的新常態。透過一系列暖身活動、在地行動方案開發等，從政府治理、商業機制和社區協力三重管道切入，讓更多人理解社會創新的理念、參與到社會創新的行動之中以環境永續精神，促成符合循環經濟的商業與生產模式的創新，來回應國際對淨零碳排的目標。資料來源：臺南市政府，2022年2月16日
 6 	為協助中小企業接軌「淨零排放」趨勢，經濟部中小企業處於2月15日舉辦「臺灣雲市集減碳專區交流座談會」，攜手產官學研共議如何透過簡易數位工具協助中小企業跨出減碳的第一步，落實淨零排放永續發展之理念。本次會議邀請工業技術研究院彭裕民副院長、國立臺北大學李堅明教授、馬偕醫學院申永順副教授、全國中小企業總會磐石獎聯誼委員會陳萬來總會長、全國創新創業總會陳清港總會長、臺灣服務業聯盟協會蘇美華秘書長、臺灣連鎖加盟促進協會柯建斌副秘書長、臺灣鑄造品工業同業公會廖坤成理事長、臺灣馬達產業協會花瑞銘秘書長、臺灣軸承暨傳動件輸出業同業公會陳勝地總幹事、臺灣區玻璃工業同業公會葛堅立秘書長、思納捷科技馮明惠副總、成創永續陳峙霖總經理、永智顧問顏素絹營運長、今時科技陳信宏副總、展綠科技李乾溢經理等16位產學研領域代表與會。交流座談會現場討論熱絡，中小企業處何晉滄處長表示，淨零排放已是企業經營必須正視的議題，期望各領域代表自產業發展及需求角度，提供政策建議。多數與會產業公協會代表皆肯定臺灣雲市集結合點數提供雲端方案的補助機制，並樂見「臺灣雲市集」開設「減碳專區」，相當有助於鼓勵中小企業跨出節能減碳第一步。陳萬來總會長並提到，推動減碳其實能夠為企業節省經營成本、開創新商機，非常值得中小企業投入，也建議政府設立獎項鼓勵中小企業投入部署。馬達協會花瑞銘秘書長則表示，淨零排放趨勢下首當其衝的是以出口為導向的製造業中小企業，政府推動數位減碳猶如及時雨，能夠及時協助中小企業取得必要的工具，有助於中小企業克服專業人力資源不足的問題。工研院彭裕民副院長指出，運用數位科技推動減碳切合國際綠色與數位雙轉型的趨勢，也是臺灣持續提升產業國際競爭力的關鍵，工研院正在積極因應產業需求開發解決方案，並且即將發布碳排放量計算工具供中小企業使用，與政府一同協助中小企業降低相關工作的負擔，攜手推動低碳轉型。與會的新創資訊服務業者也分享運用雲端解決方案，目前也有協助碳盤查與推動減碳的案例。來自臺南的成創永續陳峙霖創辦人提到可透過平台內建的各種排放係數，中小企業只需要填入排放源數據，軟體就會自動計算出排放量，彈指之間企業就能掌握排放數據。專精能源管理的思納捷科技馮明惠副總則表示，客製化的「雲端AI能源管理平台」，能夠協助中小企業全天候監測耗能量高的照明、空調、製程等設備，可依平台回饋的數據進行重點節能，同時也能帶來減碳與節省成本的效益。經濟部中小企業處長期致力於協助中小企業接軌國際趨勢，未來除持續聆聽產學研領域之政策建言，也將於「臺灣雲市集」平台增設「減碳專區」，彙整適合中小企業使用的雲端數位工具，引導中小企業跨出碳盤查與減碳的第一步，提升企業競爭力，落實永續成長的願景。資料來源：科技部，2022年2月16日
 6 7 8 	為因應國際趨勢與產業發展，同時鼓勵中小企業持續投入研發並提出創新作法，「小型企業創新研發計畫（SBIR）」一般型計畫即日起將「數位轉型」與「淨零碳排」納入計畫申請領域，採隨到隨受理方式，歡迎業者踴躍提出申請。「數位轉型」領域強調以市場需求為導向，運用人工智慧(AI)、區塊鏈(Block Chain)、雲端(Cloud)、大數據(Big Data)、物聯網(Internet of Things)及5G等數位科技，進行服務創新與發展新商業模式；「淨零碳排」領域則以致力推動能源轉型(包含風力、太陽能、地熱、海洋、氫能、儲能、碳匯)，強調綠色能源或節能減碳相關技術創新，如再生能源與零碳電力開發、低碳或零碳生產製造、節能科技與提升能源效率創新應用、負碳排技術與二氧化碳捕捉再利用等為主之內容，以聚焦開發跨領域特色之前瞻關鍵技術或系統整合解決方案。經濟部中小企業處指出，「數位轉型」與「淨零碳排」原為去(110)年度SBIR計畫主題式聯盟之公告補助主題，自推動以來即獲得中小企業廣大的迴響與關注，為積極鼓勵臺灣中小企業研發新興數位科技、跨領域發展數位製造與服務應用相關技術，並帶動國內中小企業聚焦開發新興綠能前瞻技術，以及試行驗證淨零碳排服務創新應用特色，特於一般型計畫中新增此兩項領域，冀能帶動更多中小企業提升數位營運能力、精進綠能科技關鍵技術自主能力與深化淨零碳排多元應用能量。資料來源：經濟部，2022年2月15日
 9 	勞動部勞動及職業安全衛生研究所(以下簡稱勞安所)針對企業中高齡友善文化研究發現，中高齡友善職場文化可分為五大構面，包括工作、氛圍、生活、健康、生涯等構面，勞安所並編撰實務手冊協助企業成功營造具實質內涵的中高齡友善文化職場。勞安所針對中高齡者就業較多的製造業、營建業、批發零售業、住宿餐飲業為範圍，共計完成12位企業主管與12位中高齡員工之深度訪談，以瞭解其對於中高齡友善職場文化與《中高齡者及高齡者就業促進法》的認知等問題之意見。另外，本研究共完成300份有效問卷，以蒐集中高齡工作者對於中高齡友善職場文化的看法，並編撰「促進我國中高齡友善文化職場實務手冊」，介紹中高齡友善職場文化內涵及實務推動。為營造中高齡友善文化職場，可從五大構面著力，提供每一構面所包含之各項內涵(如圖所示)，並提出具體的建議作法以營造我國中高齡友善文化職場。例如，工作構面上鼓勵企業多進用中高齡員工，借用其豐富經歷與熟練技能，協助發揮所長；而生活構面上建議雇主可舉行家庭日等親子活動，增加中高齡員工與家人互動，或辦理親子教育及溝通研習。如欲參閱實務手冊，請至勞安所官網/研究成果/各年度研究報告/110年度/勞動關係研究組/「我國中高齡工作者職場處境調查：企業中高齡友善文化、工作者心理安全感及心理健康之探討」之附錄；網址https://laws.ilosh.gov.tw/ioshcustom/report/report-01?id=1f3f129a-c070-4900-ab46-09101893a477下載。資料來源：勞動部，2022年2月15日
