SDG_NO,NAME,Title,Content,Link
1,no-poverty,International Collaboration on SDG data gathering and measuring – Global issues,"為了應對熱浪和乾旱對糧食安全的影響，成大食安所陳秀玲老師與五大洲WUN會員校共同透過生理學、病理學、育種、分子生物學、農藝、大氣化學和污染、食品安全方面的專業知識，共同合作開發抗壓力作物和可持續系統，用於生產、產出和安全消費。全球氣溫每十年上升0.15-0.20°C。最近一系列破紀錄的熱浪和乾旱發生率的增加影響了全球的作物生產。隨著世界人口的增加和可耕地的減少，必須解決氣候變化對區域和全球一級糧食安全的威脅。作物產量和品質的下降主要是由於全球許多地區的極端溫度和缺水條件。
另外，跨國界下移民與健康之間的問題：臺灣、英國和海洋國家的比較研究也是現今社會的重要議題，老齡化一直是全球的問題。2019年，英國、紐西蘭、台灣和馬來西亞的老年人口比例分別為18%、15%、14%和6.7%。以上所有島國都是海洋文化，這些國家有很多華人移民。根據英國的人口普查，2011年華人移民有40萬人口；紐西蘭統計數據顯示，2013年超過1億位。此外，華人移民是馬來西亞第二大民族，2010年占馬來西亞首都的43.2%。
台灣、英國、紐西蘭、馬來西亞的華人常青會、老年學會、宗族協會等長者，為長者提供教育或進行友好接觸。本研究利用他們的集會時間發佈調查問卷，並要求他們填寫調查問卷。四大海洋文化國家研究中，華人老年人口的跨國比較是一個新的課題。研究學者可以擴大研究領域，同時為公眾提供老齡化問題的新視角。經過12個月的研究，有望了解英國、紐西蘭、台灣、馬來西亞四個海洋文化國家華人老年人的特點、老齡化問題、社會支持狀況、老年人常見病和生理指標（生理功能、心理、認知功能）。
Reference:
WUN- SDG1 應對熱浪和乾旱對糧食安全的影響 https://wun.ac.uk/wun/research/view/addressing-the-impact-of-heatwaves-and-drought-on-food-security
WUN- SDG3 晚年移民的健康情形- TW、UK、NZ、MA https://wun.ac.uk/wun/research/view/the-intersection-between-migration-and-health-in-later-life-in-a-cross-border-context-a-comparative-study-in-taiwan-england-and-oceanic-countries
WUN- SDG4 疫情時期的大學生 https://wun.ac.uk/wun/research/view/university-students-in-the-time-of-corona-covid-19
WUN- SDG 10全球非洲群體- 環境改變、糧食安全、公衛、平等、教育、永續資源 https://wun.ac.uk/wun/research/view/global-africa-group

",https://2030.sdg.ncku.edu.tw/project/3049-2/
1,no-poverty,Taiwan NCKU Top 2 university in Asia in THE University Impact Ranking,"The Times Higher Education (THE) magazine on Thursday (April 22) released the Impact Rankings 2020, and two Taiwanese universities were on the list, with National Cheng Kung University (NCKU) at 38th in the world and 2nd in Asia, a new record high for Taiwanese schools in the world's four major ranking agencies.

NCKU President Dr. Huey-Jen Su (蘇慧貞) mentioned that the school was one of the first universities in the country to adopt the Sustainable Development Goals (SDGs). Su linked the extraordinary achievement to the school's wide range of applications, from internal affairs in campus, to participating in international medical and humanity rescue services.
The Impact Rankings were evaluated based on each university’s ability to support and deliver on the United Nations’ 17 Sustainable Development Goals. NCKU stood out in the categories of SDG7 (Affordable and Clean Energy), SDG9 (Industry Innovations and Infrastructure), and SDG14 (Life Below Water) across the higher education sector — of which it ranked among the top 20 in the world.
For more details, please refer to the Taiwan News:
https://www.taiwannews.com.tw/en/news/3921048
英國泰晤士高等教育於2020年4月22日公布2020 THE Impact Rankings，亞洲共17所大學入榜大學影響力排名前100名，臺灣僅兩所學校入榜百大，成大排名38，排名亞洲第二，較去年進步42名。在17項SDGs排名中，有11項進入世界百大，其中3項為世界前20名，分別為SDG9「工業化、創新及基礎建設」世界第10名、SDG14「海洋生態」世界第14名與SDG7「乾淨能源」世界第20名。
完整英文報導內容，請上台灣新聞網：
https://www.taiwannews.com.tw/en/news/3921048
",https://2030.sdg.ncku.edu.tw/project/taiwan-ncku-top-2-university-in-asia-in-the-university-impact-ranking/
1,no-poverty,A New Page of Architecture,"E Ink’s E-paper products offer benefits such as energy saving, portability, and eco-health. The biggest difference from other display technologies is that E-paper is a reflective and bi-stable display technology. Visually, it looks almost the same as traditional paper but with the benefits of eye protection and energy efficiency. ""Magnetrix Curtain"" is an e-paper glass curtain wall system that uses magnetic coupling induction coils to combine E-paper’s power supply and control. It encapsulates the electronic paper and its auxiliary circuits inside the two layers of glass, completely isolated from the outside world and packaged in the architectural curtain in a matrix pattern. In the external wall system, environmental information about the building is displayed on the wall through the control of the APP and each node. The 1:1 mock-up installation showcases the detailed components of the construction. The gap in the double-pane glass of the curtain wall system can be used as a display shelf.
This project hopes to use E-paper as a building material and apply it to exterior wall systems or surface finishes and so revolutionize the construction of architectural facade building materials. Professor Cheng-Luen Hsueh and Professor Kane Yanagawa in the Department of Architecture and Professor Jia-You Lee in the Department of Electrical Engineering formed a team to explore the future economic system of the construction industry from the perspective of circular economy and to pursue the possibility of E-paper as a new building material. E-paper’s readability makes it one of the most important and key technologies for future life. The research and development team sought to apply E-paper to architectural facade building materials and to use E-paper to display environmental protection information such as PM value, power consumption, and temperature. In addition, the R&D team also explored how to integrate this technology into the production and construction of building exteriors, and inspired by circular economy to practice modular, systematic, easily changeable, or leasable new business models.
元太科技的電子紙與其他顯示器技術最大的不同在於其反射式、雙穩態的顯示技術，在視覺上與傳統紙張幾乎無異，能創造護眼、節能的效益。「Magnetrix Curtain」以磁耦感應線圈結合電子紙的供電與控制，並將電子紙及附屬電路封裝於雙層玻璃內部與外界完全隔絕，以矩陣圖案封裝在建築帷幕外牆系統內，透過網站和各個節點的控制，將屋內的環境感知資訊顯示於牆面。
1:1 的裝置嘗試了建築外牆尺度的構造與施工，帷幕玻璃單元同時也在雙層玻璃之間構成一個玻璃櫥窗。此裝置期望以電子紙為材料並將其運用於外牆系統或是表面飾材，並帶來革命性的建築皮層材料的變革。本專案以建築系的薛丞倫老師、柳川肯老師與電機系李嘉猷老師組成研發團隊，試圖從循環經濟的角度探討未來建築產業的新經濟系統以及從建築的角度探討電子紙作為建築新材料的可能性。研發團隊的研究方向設定為將電子紙應用於建築皮層材料，並透過電子紙展現建築內的PM值、耗電量及溫度等環境感知資訊。此外研發團隊也試圖探討如何融入建築外牆既有生產到施工的生態，啟發在循環經濟思考下，模組化、系統性、易更換、或租賃式的新商業模式的實踐。
",https://2030.sdg.ncku.edu.tw/project/a-new-page-of-architecture-2015-08-now/
2,zero-hunger,2.2.1 Campus food waste tracking,"NCKU has been tracking food waste for years.
On the website, we normally update the figures for the recent two years.
LINK 1:本校歷年廚餘量
LINK 2:本校歷年廢棄物量
LINK 3:本校垃圾處理及資源回收
",https://2030.sdg.ncku.edu.tw/project/2-2-1-campus-food-waste-tracking-3/
2,zero-hunger,2.5.4 Sustainable food purchases,"Sustainable food purchases
NCKU has prioritized purchase of products from local sustainable sources for years. For the past two years, NCKU has been purchasing products from disabled welfare organizations and sheltered workshops, in which the profit is used to aid people with disability and small businesses. Some of the products purchased range from consumption to raw materials for NCKU’s merchandise, which are environmentally-friendly and sustainable.
Link1: Priority Purchase from Institutions or Groups with Disabilities
Link2: New School Lunch Innovation Promoting Program
Link3:Smart Campus Catering Service Platform Operation Manual
#Year2019#Year2020
",https://2030.sdg.ncku.edu.tw/project/2-5-4-sustainable-food-purchases/
2,zero-hunger,2.5.3 University access to local farmers and food producers,"University access to local farmers and food producers
NCKU provides both free and premium access to university facilities for local farmers and food producers to improve sustainable farming practices.
NCKU Department of Architecture's Professor Lin carries out the “Implementation Plan Adapted to Environmental Change in Tainan Coastal Area (IMPACT)” to assist the oyster culture in Cigu District, Tainan. The plan involves applying monomer-cultivating installation to provide sufficient growing space for oysters while simultaneously increasing its unit price. In addition, NCKU has put the environmental control profession into practice by implementing intelligent sprinkler irrigations in asparagus fields of Beimen District and Jiangjun District, which can monitor temperatures and prevent crop failure. Moreover, through the course “Social Innovation Practice of SATOYAMA”, students have the chance to initiate solutions for harms of ""Dashu Mangoes” caused by fruit flies. Lastly, NCKU’s Center for Bioscience and Biotechnology draws up a plan to seek the common good of agriculture and animal husbandry. The strategy utilizes microalgae in treating wastewater from farms, which allows them to be reused as liquid fertilizer for farmers and fishermen.
Link1: Build Haitats for Oysters: NCKU USR team helps local fishermen improve the competitiveness of oyster industry
Link2: Cultivating Mangos: NCKU Chinese Lierature Departent’s Satoyama Initiative Innovation Program Takes Couses in Yujing
Link3: USR program-農牧共好與農綠共生
#Year2019#Year2020
",https://2030.sdg.ncku.edu.tw/project/2-5-3-university-access-to-local-farmers-and-food-producers/
2,zero-hunger,2.5.2 Events for local farmers and food producers,"Events for local farmers and food producers
NCKU provides free events and premium consulting services for local farmers and food producers to connect and transfer knowledge, not only in agriculture but also in aquaculture. Through the University Social Responsibility (USR) Project, NCKU strives to empower farmers in developing better quality agricultural products through technology implementation in conventional farming systems that farmers have utilized over the years. The strategy involves the usage of micro-bacteria and algae developed by NCKU’s department of Life Sciences, which aids the process of recycling livestock waste and enhancing the health standards in prawn cultivation.
In addition, NCKU also extends opportunities to local farmers to increase their livelihood through offline marketing platforms to sell their products, allowing farmers to increase their network without having to worry about their merchandise going to waste due to the lack of buyers. Furthermore, to strengthen the win-win relationship between schools, local farmers and suppliers, NCKU collaborates with the government in establishing “The School Lunch Project '', which helps balance the quality of school lunch and food safety among schools in Taiwan via local agricultural products labels while reducing the costs of food transportation. This project helps to develop agricultural literacy with local characteristics, and promote the business of local agricultural markets.
Link1:NCKU’s plan of  University Social Responsibility (USR) promotes the combination of scholarship and local farmers
Link2:NCKU worked with government to held farmers' market for promoting organic products
Link3:NCKU cooperates with governments in “The New School Lunch Project”
#Year2019#Year2020
",https://2030.sdg.ncku.edu.tw/project/2-5-2-events-for-local-farmers-and-food-producers/
2,zero-hunger,2.5.1 Access to food security knowledge,"Access to food security knowledge
NCKU provides free courses and premium consulting services for local farmers and food producers to access knowledge/skills/technology on food security and sustainable agriculture. NCKU has made efforts in educating students in food security and direct fieldwork through excursions to agricultural villages and farms. In addition, the class has now taken a further step in empowering food security knowledge through teaching elementary students matters related to food security. This is done in order to promote a sustainable environment for farming and to reduce pesticide use on plants as well as water pollution in the coming future. Moreover, it is an attempt to encourage the future generation to practice environmental sustainability and thus being able to continuously reuse the land for farming.
Link1: Food Safety Knowledge Promotion, Creation Competition and Candidates Training Activities
Link2: Satoyama Initiative Practice Plan- Promoting the transformation of Friendly Agriculture
Link3: New School Lunch Innovation Promoting Program
#Year2019#Year2020
",https://2030.sdg.ncku.edu.tw/project/2-5-1-access-to-food-security-knowledge/
2,zero-hunger,2.3.4 Healthy and affordable food choices,"NCKU's Healthy and Affordable Food Choices
NCKU provides healthy and affordable food choices with all school cafeteria. NCKU sets up student restaurants on three different campuses and follows guidelines of “Management of Catering and Hygiene in Colleges”.
Regardless of eating habits, NCKU school cafeteria provides specific meals to meet different dietary needs and affordable food choices for staff and students. In NCKU food-providing organization, the accommodation service group is responsible for restaurant management, the health care group is responsible for restaurant hygiene supervision, and the general affairs office is responsible for restaurant equipment repair and purchase. Also, NCKU dietary committee is set up to hold regular meetings, supervise the execution of the student restaurant contracts, examine restaurants’ conditions and give suggestions.
Link1: Cafeteria Introduction
Link2: College of Medicine’s Cafeteria in NCKU-Instruction for Bidding
Link3: New School Lunch Innovation Promoting Program
#Year2019 #Year2020
",https://2030.sdg.ncku.edu.tw/project/2-3-4-healthy-and-affordable-food-choices/
2,zero-hunger,2.3.3 Sustainable food choices on campus,"Sustainable food choices on campus
NCKU provides sustainable food choices for all food outlets on campus, including halal, vegetarian and vegan food. The cafeterias are located in the Guang-Fu dorm, Ching-Yeh dorm, and NCKU’s medical college, which are easily accessible within the school grounds. Aside from the Family Mart convenience store that is open throughout the whole week, all of the stalls in the cafeteria are open from mondays to fridays, providing students and workers alike with sustainable foods. The variety of food choices makes it convenient for students with food allergies and restrictions (such as Muslims who cannot eat pork) to buy meals while still being able to fulfill their nutritional needs.
Link1:NCKU Campus Dorm Cafeteria Services Website -- Cafeteria Introduction
Link2:NCKU Student Dorm Canteen Website－Business Hours
Link3:Chimei Cafe
#Year2019#Year2020
",https://2030.sdg.ncku.edu.tw/project/2-3-3-sustainable-food-choices-on-campus/
2,zero-hunger,2.3.2 Students and staff hunger interventions,"NCKU's Students and Staff Hunger Interventions
NCKU sets up student restaurants as student hunger interventions target hunger among students. Business hours of student restaurants which provide breakfast, lunch and dinner meet students’ dining time. The food is safe, hygienic and diverse, so students can enjoy food trustingly. NCKU student restaurants provide specific meals to meet different dietary needs. The meals in each student restaurant are not highly homogenous to ensure that students have a variety of diet options. Accordingly, NCKU student restaurants provide as various foods as possible to different students and staff.
Link1: NCKU Dorm Cafeteria Introduction
Link2: Update of NCKU Dorm Cafeteria
Link3: Chimei Cafe in NCKU Campus
#Year2019 #Year2020
",https://2030.sdg.ncku.edu.tw/project/2-3-2-students-and-staff-hunger-interventions/
2,zero-hunger,2.3.1 Student food insecurity and hunger,"NCKU's Student Food Insecurity and Hunger
NCKU has committed to student hunger programmes on food insecurity hunger. Healthy, universal and affordable lunch and dinner are essential to students. NCKU student restaurants adopt the principle of ""good quality, low price, and hygiene first"" to serve meals on campus. Student restaurants in NCKU have to undergo strict examinations and evaluations of meals, prices, environments and hygiene. The quality, hygiene and safety of food materials comply with relevant government regulations. In addition, the staff are required to conduct regular health checks to ensure that the food is safely prepared. Also, NCKU focuses on customer opinions; therefore, NCKU uses the restaurant satisfaction questionnaire to understand the needs and suggestions from students.
Link1: NCKU Dorm Accomodation Service - Business Category - Student Dorm Cafeteria
Link2: Bidding Instructions for NCKU College of Medicine Cafeteria
Link3: Application Reminders for  「Study Grant for Disadvantaged Students in Universities and Colleges」
#Year2019#Year2020
",https://2030.sdg.ncku.edu.tw/project/2-3-1-student-food-insecurity-and-hunger/
2,zero-hunger,Collaborations with NGOs on SDGs,"成大醫院和肯亞2007年開始進行醫療衛生合作計畫，每年派出自願醫師前往肯亞指導，期使透過台灣醫療技術及經驗傳承，提升當地病患的醫療及生活品質。成大醫院12年來協助肯亞培訓了50名醫護人員，協助肯亞當地的血液透析病患，進行自體與人工血管瘻管手術，降低了感染死亡率，同時提升病患的生活品質。雙邊醫療衛生合作計畫，從早期的災難預防及公共衛生教育訓練，至今與肯亞當地規模最大的肯亞塔國立醫院共同合作辦理心臟血管外科示範手術，及血液透析護理訓練。
在實際研究成果上，為提升我國航空工業競爭力，校長蘇慧貞與漢翔航空簽署「漢翔－成大航空工業共同研發中心」協議書，攜手成立一個共同研發中心作為雙方合作的平台，提供未來雙方多元領域的合作機制，以達到培育專業與系統整合的高階人才、除強化產學合作效能、也能促進灣航空工業升級。同時，也與金融業永豐銀行共同成立「Atelier Future未來智慧工場」，揭示合作以來的成果。最後，在防疫上，成大向全球發表展示自主研發的台灣版「移動式緊急部署檢疫醫院原型QurE」。該設計採取模組化組裝，能因地制宜快速搭建檢疫醫院負壓病房組合，並可規劃醫護與病患動線分離，在防疫期間迅速提供安全、健康且高品質的醫療環境。QurE原型屋從設計概念到實體建造的所有研發設計過程都在網站公開，提供全球下載。
另一方面，在教育資源方面，成大創立「沙崙智慧產業創新聯盟」，針對智慧醫療、循環經濟、未來運輸、減碳綠能四大議題，展開對話與交流，共同商討沙崙綠能科學城的未來展望。成大躬先表率，將擔任執行工作，成立「沙崙綠能智慧創新推動平台」，設「推動委員會」、「政府．企業．大學協力的法人」，確立整體願景目標，執行方向等，形成有效執行的幕僚機制與中央對接，回應政府所擘劃的願景藍圖。陳其邁院長表示，成大在各領域都是頂尖的大學，將是大方南方計畫啟動的大腦，行政院會全力支持成大，支持沙崙智慧產業創新聯盟運作。
",https://2030.sdg.ncku.edu.tw/project/3053-2/
2,zero-hunger,International Collaboration on SDG data gathering and measuring – Global issues,"為了應對熱浪和乾旱對糧食安全的影響，成大食安所陳秀玲老師與五大洲WUN會員校共同透過生理學、病理學、育種、分子生物學、農藝、大氣化學和污染、食品安全方面的專業知識，共同合作開發抗壓力作物和可持續系統，用於生產、產出和安全消費。全球氣溫每十年上升0.15-0.20°C。最近一系列破紀錄的熱浪和乾旱發生率的增加影響了全球的作物生產。隨著世界人口的增加和可耕地的減少，必須解決氣候變化對區域和全球一級糧食安全的威脅。作物產量和品質的下降主要是由於全球許多地區的極端溫度和缺水條件。
另外，跨國界下移民與健康之間的問題：臺灣、英國和海洋國家的比較研究也是現今社會的重要議題，老齡化一直是全球的問題。2019年，英國、紐西蘭、台灣和馬來西亞的老年人口比例分別為18%、15%、14%和6.7%。以上所有島國都是海洋文化，這些國家有很多華人移民。根據英國的人口普查，2011年華人移民有40萬人口；紐西蘭統計數據顯示，2013年超過1億位。此外，華人移民是馬來西亞第二大民族，2010年占馬來西亞首都的43.2%。
台灣、英國、紐西蘭、馬來西亞的華人常青會、老年學會、宗族協會等長者，為長者提供教育或進行友好接觸。本研究利用他們的集會時間發佈調查問卷，並要求他們填寫調查問卷。四大海洋文化國家研究中，華人老年人口的跨國比較是一個新的課題。研究學者可以擴大研究領域，同時為公眾提供老齡化問題的新視角。經過12個月的研究，有望了解英國、紐西蘭、台灣、馬來西亞四個海洋文化國家華人老年人的特點、老齡化問題、社會支持狀況、老年人常見病和生理指標（生理功能、心理、認知功能）。
Reference:
WUN- SDG1 應對熱浪和乾旱對糧食安全的影響 https://wun.ac.uk/wun/research/view/addressing-the-impact-of-heatwaves-and-drought-on-food-security
WUN- SDG3 晚年移民的健康情形- TW、UK、NZ、MA https://wun.ac.uk/wun/research/view/the-intersection-between-migration-and-health-in-later-life-in-a-cross-border-context-a-comparative-study-in-taiwan-england-and-oceanic-countries
WUN- SDG4 疫情時期的大學生 https://wun.ac.uk/wun/research/view/university-students-in-the-time-of-corona-covid-19
WUN- SDG 10全球非洲群體- 環境改變、糧食安全、公衛、平等、教育、永續資源 https://wun.ac.uk/wun/research/view/global-africa-group

",https://2030.sdg.ncku.edu.tw/project/3049-2/
